tag,value,unit,recorded_at,source,external_id
air_temp_c,24.7,C,2026-08-22T19:00:00Z,plc_export,CNC-MILL-02-air_temp_c-000
process_temp_c,35.2,C,2026-08-22T19:00:00Z,plc_export,CNC-MILL-02-process_temp_c-000
spindle_speed_rpm,1612,rpm,2026-08-22T19:00:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-000
torque_nm,32.1,Nm,2026-08-22T19:00:00Z,plc_export,CNC-MILL-02-torque_nm-000
air_temp_c,24.7,C,2026-08-22T19:30:00Z,plc_export,CNC-MILL-02-air_temp_c-001
process_temp_c,35.2,C,2026-08-22T19:30:00Z,plc_export,CNC-MILL-02-process_temp_c-001
spindle_speed_rpm,1518,rpm,2026-08-22T19:30:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-001
torque_nm,32.5,Nm,2026-08-22T19:30:00Z,plc_export,CNC-MILL-02-torque_nm-001
air_temp_c,24.7,C,2026-08-22T20:00:00Z,plc_export,CNC-MILL-02-air_temp_c-002
process_temp_c,35.4,C,2026-08-22T20:00:00Z,plc_export,CNC-MILL-02-process_temp_c-002
spindle_speed_rpm,1448,rpm,2026-08-22T20:00:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-002
torque_nm,40.0,Nm,2026-08-22T20:00:00Z,plc_export,CNC-MILL-02-torque_nm-002
air_temp_c,24.7,C,2026-08-22T20:30:00Z,plc_export,CNC-MILL-02-air_temp_c-003
process_temp_c,35.4,C,2026-08-22T20:30:00Z,plc_export,CNC-MILL-02-process_temp_c-003
spindle_speed_rpm,1561,rpm,2026-08-22T20:30:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-003
torque_nm,46.3,Nm,2026-08-22T20:30:00Z,plc_export,CNC-MILL-02-torque_nm-003
air_temp_c,24.6,C,2026-08-22T21:00:00Z,plc_export,CNC-MILL-02-air_temp_c-004
process_temp_c,35.4,C,2026-08-22T21:00:00Z,plc_export,CNC-MILL-02-process_temp_c-004
spindle_speed_rpm,1501,rpm,2026-08-22T21:00:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-004
torque_nm,41.4,Nm,2026-08-22T21:00:00Z,plc_export,CNC-MILL-02-torque_nm-004
air_temp_c,24.4,C,2026-08-22T21:30:00Z,plc_export,CNC-MILL-02-air_temp_c-005
process_temp_c,35.1,C,2026-08-22T21:30:00Z,plc_export,CNC-MILL-02-process_temp_c-005
spindle_speed_rpm,1647,rpm,2026-08-22T21:30:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-005
torque_nm,31.3,Nm,2026-08-22T21:30:00Z,plc_export,CNC-MILL-02-torque_nm-005
air_temp_c,24.4,C,2026-08-22T22:00:00Z,plc_export,CNC-MILL-02-air_temp_c-006
process_temp_c,35.1,C,2026-08-22T22:00:00Z,plc_export,CNC-MILL-02-process_temp_c-006
spindle_speed_rpm,1563,rpm,2026-08-22T22:00:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-006
torque_nm,38.2,Nm,2026-08-22T22:00:00Z,plc_export,CNC-MILL-02-torque_nm-006
air_temp_c,24.2,C,2026-08-22T22:30:00Z,plc_export,CNC-MILL-02-air_temp_c-007
process_temp_c,35.0,C,2026-08-22T22:30:00Z,plc_export,CNC-MILL-02-process_temp_c-007
spindle_speed_rpm,1474,rpm,2026-08-22T22:30:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-007
torque_nm,39.4,Nm,2026-08-22T22:30:00Z,plc_export,CNC-MILL-02-torque_nm-007
air_temp_c,24.2,C,2026-08-22T23:00:00Z,plc_export,CNC-MILL-02-air_temp_c-008
process_temp_c,35.1,C,2026-08-22T23:00:00Z,plc_export,CNC-MILL-02-process_temp_c-008
spindle_speed_rpm,1471,rpm,2026-08-22T23:00:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-008
torque_nm,46.5,Nm,2026-08-22T23:00:00Z,plc_export,CNC-MILL-02-torque_nm-008
air_temp_c,24.4,C,2026-08-22T23:30:00Z,plc_export,CNC-MILL-02-air_temp_c-009
process_temp_c,35.2,C,2026-08-22T23:30:00Z,plc_export,CNC-MILL-02-process_temp_c-009
spindle_speed_rpm,1585,rpm,2026-08-22T23:30:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-009
torque_nm,32.9,Nm,2026-08-22T23:30:00Z,plc_export,CNC-MILL-02-torque_nm-009
air_temp_c,24.4,C,2026-08-23T00:00:00Z,plc_export,CNC-MILL-02-air_temp_c-010
process_temp_c,35.2,C,2026-08-23T00:00:00Z,plc_export,CNC-MILL-02-process_temp_c-010
spindle_speed_rpm,1544,rpm,2026-08-23T00:00:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-010
torque_nm,40.8,Nm,2026-08-23T00:00:00Z,plc_export,CNC-MILL-02-torque_nm-010
air_temp_c,24.5,C,2026-08-23T00:30:00Z,plc_export,CNC-MILL-02-air_temp_c-011
process_temp_c,35.2,C,2026-08-23T00:30:00Z,plc_export,CNC-MILL-02-process_temp_c-011
spindle_speed_rpm,1617,rpm,2026-08-23T00:30:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-011
torque_nm,31.7,Nm,2026-08-23T00:30:00Z,plc_export,CNC-MILL-02-torque_nm-011
air_temp_c,24.5,C,2026-08-23T01:00:00Z,plc_export,CNC-MILL-02-air_temp_c-012
process_temp_c,35.2,C,2026-08-23T01:00:00Z,plc_export,CNC-MILL-02-process_temp_c-012
spindle_speed_rpm,1595,rpm,2026-08-23T01:00:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-012
torque_nm,34.3,Nm,2026-08-23T01:00:00Z,plc_export,CNC-MILL-02-torque_nm-012
air_temp_c,24.5,C,2026-08-23T01:30:00Z,plc_export,CNC-MILL-02-air_temp_c-013
process_temp_c,35.2,C,2026-08-23T01:30:00Z,plc_export,CNC-MILL-02-process_temp_c-013
spindle_speed_rpm,1658,rpm,2026-08-23T01:30:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-013
torque_nm,34.3,Nm,2026-08-23T01:30:00Z,plc_export,CNC-MILL-02-torque_nm-013
air_temp_c,24.5,C,2026-08-23T02:00:00Z,plc_export,CNC-MILL-02-air_temp_c-014
process_temp_c,35.2,C,2026-08-23T02:00:00Z,plc_export,CNC-MILL-02-process_temp_c-014
spindle_speed_rpm,1623,rpm,2026-08-23T02:00:00Z,plc_export,CNC-MILL-02-spindle_speed_rpm-014
torque_nm,36.9,Nm,2026-08-23T02:00:00Z,plc_export,CNC-MILL-02-torque_nm-014
air_temp_c,24.5,C,2026-08-23T02:30:00Z,plc_export,CNC-MILL-02-air_temp_c-015
process_temp_c,35.2,C,2026-08-23T02:30:00Z,plc_export,CNC-MILL-02-process_temp_c-015
