tag,value,unit,recorded_at,source,external_id
discharge_pressure_bar,7.37,bar,2026-08-20T07:00:00Z,plc_export,COMP-01-discharge_pressure_bar-000
discharge_pressure_bar,7.37,bar,2026-08-20T08:00:00Z,plc_export,COMP-01-discharge_pressure_bar-001
discharge_pressure_bar,7.42,bar,2026-08-20T09:00:00Z,plc_export,COMP-01-discharge_pressure_bar-002
discharge_pressure_bar,7.35,bar,2026-08-20T10:00:00Z,plc_export,COMP-01-discharge_pressure_bar-003
discharge_pressure_bar,7.37,bar,2026-08-20T11:00:00Z,plc_export,COMP-01-discharge_pressure_bar-004
discharge_pressure_bar,7.49,bar,2026-08-20T12:00:00Z,plc_export,COMP-01-discharge_pressure_bar-005
discharge_pressure_bar,7.45,bar,2026-08-20T13:00:00Z,plc_export,COMP-01-discharge_pressure_bar-006
discharge_pressure_bar,7.37,bar,2026-08-20T14:00:00Z,plc_export,COMP-01-discharge_pressure_bar-007
discharge_pressure_bar,7.52,bar,2026-08-20T15:00:00Z,plc_export,COMP-01-discharge_pressure_bar-008
discharge_pressure_bar,7.55,bar,2026-08-20T16:00:00Z,plc_export,COMP-01-discharge_pressure_bar-009
discharge_pressure_bar,7.41,bar,2026-08-20T17:00:00Z,plc_export,COMP-01-discharge_pressure_bar-010
discharge_pressure_bar,7.33,bar,2026-08-20T18:00:00Z,plc_export,COMP-01-discharge_pressure_bar-011
discharge_pressure_bar,7.44,bar,2026-08-20T19:00:00Z,plc_export,COMP-01-discharge_pressure_bar-012
discharge_pressure_bar,7.44,bar,2026-08-20T20:00:00Z,plc_export,COMP-01-discharge_pressure_bar-013
discharge_pressure_bar,7.4,bar,2026-08-20T21:00:00Z,plc_export,COMP-01-discharge_pressure_bar-014
discharge_pressure_bar,7.35,bar,2026-08-20T22:00:00Z,plc_export,COMP-01-discharge_pressure_bar-015
discharge_pressure_bar,7.37,bar,2026-08-20T23:00:00Z,plc_export,COMP-01-discharge_pressure_bar-016
discharge_pressure_bar,7.27,bar,2026-08-21T00:00:00Z,plc_export,COMP-01-discharge_pressure_bar-017
discharge_pressure_bar,7.31,bar,2026-08-21T01:00:00Z,plc_export,COMP-01-discharge_pressure_bar-018
discharge_pressure_bar,7.42,bar,2026-08-21T02:00:00Z,plc_export,COMP-01-discharge_pressure_bar-019
discharge_pressure_bar,7.31,bar,2026-08-21T03:00:00Z,plc_export,COMP-01-discharge_pressure_bar-020
discharge_pressure_bar,7.4,bar,2026-08-21T04:00:00Z,plc_export,COMP-01-discharge_pressure_bar-021
discharge_pressure_bar,7.39,bar,2026-08-21T05:00:00Z,plc_export,COMP-01-discharge_pressure_bar-022
discharge_pressure_bar,7.23,bar,2026-08-21T06:00:00Z,plc_export,COMP-01-discharge_pressure_bar-023
discharge_pressure_bar,7.33,bar,2026-08-21T07:00:00Z,plc_export,COMP-01-discharge_pressure_bar-024
discharge_pressure_bar,7.47,bar,2026-08-21T08:00:00Z,plc_export,COMP-01-discharge_pressure_bar-025
discharge_pressure_bar,7.53,bar,2026-08-21T09:00:00Z,plc_export,COMP-01-discharge_pressure_bar-026
