tag,value,unit,recorded_at,source,external_id
belt_speed_mps,0.85,m/s,2026-08-20T07:00:00Z,plc_export,CONV-01-belt_speed_mps-000
belt_speed_mps,0.85,m/s,2026-08-20T08:00:00Z,plc_export,CONV-01-belt_speed_mps-001
belt_speed_mps,0.8,m/s,2026-08-20T09:00:00Z,plc_export,CONV-01-belt_speed_mps-002
belt_speed_mps,0.84,m/s,2026-08-20T10:00:00Z,plc_export,CONV-01-belt_speed_mps-003
belt_speed_mps,0.84,m/s,2026-08-20T11:00:00Z,plc_export,CONV-01-belt_speed_mps-004
belt_speed_mps,0.82,m/s,2026-08-20T12:00:00Z,plc_export,CONV-01-belt_speed_mps-005
belt_speed_mps,0.83,m/s,2026-08-20T13:00:00Z,plc_export,CONV-01-belt_speed_mps-006
belt_speed_mps,0.86,m/s,2026-08-20T14:00:00Z,plc_export,CONV-01-belt_speed_mps-007
belt_speed_mps,0.84,m/s,2026-08-20T15:00:00Z,plc_export,CONV-01-belt_speed_mps-008
belt_speed_mps,0.85,m/s,2026-08-20T16:00:00Z,plc_export,CONV-01-belt_speed_mps-009
belt_speed_mps,0.86,m/s,2026-08-20T17:00:00Z,plc_export,CONV-01-belt_speed_mps-010
belt_speed_mps,0.85,m/s,2026-08-20T18:00:00Z,plc_export,CONV-01-belt_speed_mps-011
belt_speed_mps,0.83,m/s,2026-08-20T19:00:00Z,plc_export,CONV-01-belt_speed_mps-012
belt_speed_mps,0.9,m/s,2026-08-20T20:00:00Z,plc_export,CONV-01-belt_speed_mps-013
belt_speed_mps,0.81,m/s,2026-08-20T21:00:00Z,plc_export,CONV-01-belt_speed_mps-014
belt_speed_mps,0.84,m/s,2026-08-20T22:00:00Z,plc_export,CONV-01-belt_speed_mps-015
belt_speed_mps,0.84,m/s,2026-08-20T23:00:00Z,plc_export,CONV-01-belt_speed_mps-016
belt_speed_mps,0.88,m/s,2026-08-21T00:00:00Z,plc_export,CONV-01-belt_speed_mps-017
belt_speed_mps,0.83,m/s,2026-08-21T01:00:00Z,plc_export,CONV-01-belt_speed_mps-018
belt_speed_mps,0.85,m/s,2026-08-21T02:00:00Z,plc_export,CONV-01-belt_speed_mps-019
belt_speed_mps,0.88,m/s,2026-08-21T03:00:00Z,plc_export,CONV-01-belt_speed_mps-020
belt_speed_mps,0.85,m/s,2026-08-21T04:00:00Z,plc_export,CONV-01-belt_speed_mps-021
belt_speed_mps,0.88,m/s,2026-08-21T05:00:00Z,plc_export,CONV-01-belt_speed_mps-022
belt_speed_mps,0.83,m/s,2026-08-21T06:00:00Z,plc_export,CONV-01-belt_speed_mps-023
belt_speed_mps,0.84,m/s,2026-08-21T07:00:00Z,plc_export,CONV-01-belt_speed_mps-024
belt_speed_mps,0.89,m/s,2026-08-21T08:00:00Z,plc_export,CONV-01-belt_speed_mps-025
belt_speed_mps,0.84,m/s,2026-08-21T09:00:00Z,plc_export,CONV-01-belt_speed_mps-026
belt_speed_mps,0.87,m/s,2026-08-21T10:00:00Z,plc_export,CONV-01-belt_speed_mps-027
