tag,value,unit,recorded_at,source,external_id
winding_temp_c,71.23,C,2026-08-20T11:00:00Z,plc_export,MOTOR-01-winding_temp_c-000
winding_temp_c,68.95,C,2026-08-20T12:00:00Z,plc_export,MOTOR-01-winding_temp_c-001
winding_temp_c,70.96,C,2026-08-20T13:00:00Z,plc_export,MOTOR-01-winding_temp_c-002
winding_temp_c,69.49,C,2026-08-20T14:00:00Z,plc_export,MOTOR-01-winding_temp_c-003
winding_temp_c,69.35,C,2026-08-20T15:00:00Z,plc_export,MOTOR-01-winding_temp_c-004
winding_temp_c,71.45,C,2026-08-20T16:00:00Z,plc_export,MOTOR-01-winding_temp_c-005
winding_temp_c,70.39,C,2026-08-20T17:00:00Z,plc_export,MOTOR-01-winding_temp_c-006
winding_temp_c,69.25,C,2026-08-20T18:00:00Z,plc_export,MOTOR-01-winding_temp_c-007
winding_temp_c,72.52,C,2026-08-20T19:00:00Z,plc_export,MOTOR-01-winding_temp_c-008
winding_temp_c,70.8,C,2026-08-20T20:00:00Z,plc_export,MOTOR-01-winding_temp_c-009
winding_temp_c,71.88,C,2026-08-20T21:00:00Z,plc_export,MOTOR-01-winding_temp_c-010
winding_temp_c,71.34,C,2026-08-20T22:00:00Z,plc_export,MOTOR-01-winding_temp_c-011
winding_temp_c,67.49,C,2026-08-20T23:00:00Z,plc_export,MOTOR-01-winding_temp_c-012
winding_temp_c,73.73,C,2026-08-21T00:00:00Z,plc_export,MOTOR-01-winding_temp_c-013
winding_temp_c,71.69,C,2026-08-21T01:00:00Z,plc_export,MOTOR-01-winding_temp_c-014
winding_temp_c,70.12,C,2026-08-21T02:00:00Z,plc_export,MOTOR-01-winding_temp_c-015
winding_temp_c,70.07,C,2026-08-21T03:00:00Z,plc_export,MOTOR-01-winding_temp_c-016
winding_temp_c,72.87,C,2026-08-21T04:00:00Z,plc_export,MOTOR-01-winding_temp_c-017
winding_temp_c,72.72,C,2026-08-21T05:00:00Z,plc_export,MOTOR-01-winding_temp_c-018
winding_temp_c,66.64,C,2026-08-21T06:00:00Z,plc_export,MOTOR-01-winding_temp_c-019
winding_temp_c,71.7,C,2026-08-21T07:00:00Z,plc_export,MOTOR-01-winding_temp_c-020
winding_temp_c,71.05,C,2026-08-21T08:00:00Z,plc_export,MOTOR-01-winding_temp_c-021
winding_temp_c,71.56,C,2026-08-21T09:00:00Z,plc_export,MOTOR-01-winding_temp_c-022
winding_temp_c,68.77,C,2026-08-21T10:00:00Z,plc_export,MOTOR-01-winding_temp_c-023
winding_temp_c,74.28,C,2026-08-21T11:00:00Z,plc_export,MOTOR-01-winding_temp_c-024
winding_temp_c,72.23,C,2026-08-21T12:00:00Z,plc_export,MOTOR-01-winding_temp_c-025
winding_temp_c,70.62,C,2026-08-21T13:00:00Z,plc_export,MOTOR-01-winding_temp_c-026
winding_temp_c,70.89,C,2026-08-21T14:00:00Z,plc_export,MOTOR-01-winding_temp_c-027
winding_temp_c,69.96,C,2026-08-21T15:00:00Z,plc_export,MOTOR-01-winding_temp_c-028
winding_temp_c,70.23,C,2026-08-21T16:00:00Z,plc_export,MOTOR-01-winding_temp_c-029
winding_temp_c,69.9,C,2026-08-21T17:00:00Z,plc_export,MOTOR-01-winding_temp_c-030
winding_temp_c,73.98,C,2026-08-21T18:00:00Z,plc_export,MOTOR-01-winding_temp_c-031
winding_temp_c,70.52,C,2026-08-21T19:00:00Z,plc_export,MOTOR-01-winding_temp_c-032
winding_temp_c,72.91,C,2026-08-21T20:00:00Z,plc_export,MOTOR-01-winding_temp_c-033
winding_temp_c,74.18,C,2026-08-21T21:00:00Z,plc_export,MOTOR-01-winding_temp_c-034
winding_temp_c,68.84,C,2026-08-21T22:00:00Z,plc_export,MOTOR-01-winding_temp_c-035
winding_temp_c,71.65,C,2026-08-21T23:00:00Z,plc_export,MOTOR-01-winding_temp_c-036
winding_temp_c,70.45,C,2026-08-22T00:00:00Z,plc_export,MOTOR-01-winding_temp_c-037
winding_temp_c,71.55,C,2026-08-22T01:00:00Z,plc_export,MOTOR-01-winding_temp_c-038
winding_temp_c,69.32,C,2026-08-22T02:00:00Z,plc_export,MOTOR-01-winding_temp_c-039
winding_temp_c,69.62,C,2026-08-22T03:00:00Z,plc_export,MOTOR-01-winding_temp_c-040
winding_temp_c,69.57,C,2026-08-22T04:00:00Z,plc_export,MOTOR-01-winding_temp_c-041
winding_temp_c,69.55,C,2026-08-22T05:00:00Z,plc_export,MOTOR-01-winding_temp_c-042
winding_temp_c,70.06,C,2026-08-22T06:00:00Z,plc_export,MOTOR-01-winding_temp_c-043
winding_temp_c,73.13,C,2026-08-22T07:00:00Z,plc_export,MOTOR-01-winding_temp_c-044
winding_temp_c,70.0,C,2026-08-22T08:00:00Z,plc_export,MOTOR-01-winding_temp_c-045
winding_temp_c,70.52,C,2026-08-22T09:00:00Z,plc_export,MOTOR-01-winding_temp_c-046
winding_temp_c,69.59,C,2026-08-22T10:00:00Z,plc_export,MOTOR-01-winding_temp_c-047
winding_temp_c,70.16,C,2026-08-22T11:00:00Z,plc_export,MOTOR-01-winding_temp_c-048
winding_temp_c,70.54,C,2026-08-22T12:00:00Z,plc_export,MOTOR-01-winding_temp_c-049
winding_temp_c,72.72,C,2026-08-22T13:00:00Z,plc_export,MOTOR-01-winding_temp_c-050
winding_temp_c,74.71,C,2026-08-22T14:00:00Z,plc_export,MOTOR-01-winding_temp_c-051
winding_temp_c,69.78,C,2026-08-22T15:00:00Z,plc_export,MOTOR-01-winding_temp_c-052
winding_temp_c,69.91,C,2026-08-22T16:00:00Z,plc_export,MOTOR-01-winding_temp_c-053
winding_temp_c,69.69,C,2026-08-22T17:00:00Z,plc_export,MOTOR-01-winding_temp_c-054
winding_temp_c,73.78,C,2026-08-22T18:00:00Z,plc_export,MOTOR-01-winding_temp_c-055
winding_temp_c,70.89,C,2026-08-22T19:00:00Z,plc_export,MOTOR-01-winding_temp_c-056
winding_temp_c,72.21,C,2026-08-22T20:00:00Z,plc_export,MOTOR-01-winding_temp_c-057
winding_temp_c,72.88,C,2026-08-22T21:00:00Z,plc_export,MOTOR-01-winding_temp_c-058
winding_temp_c,72.22,C,2026-08-22T22:00:00Z,plc_export,MOTOR-01-winding_temp_c-059
winding_temp_c,74.59,C,2026-08-22T23:00:00Z,plc_export,MOTOR-01-winding_temp_c-060
winding_temp_c,73.94,C,2026-08-23T00:00:00Z,plc_export,MOTOR-01-winding_temp_c-061
winding_temp_c,75.09,C,2026-08-23T01:00:00Z,plc_export,MOTOR-01-winding_temp_c-062
winding_temp_c,68.3,C,2026-08-23T02:00:00Z,plc_export,MOTOR-01-winding_temp_c-063
winding_temp_c,71.22,C,2026-08-23T03:00:00Z,plc_export,MOTOR-01-winding_temp_c-064
winding_temp_c,71.24,C,2026-08-23T04:00:00Z,plc_export,MOTOR-01-winding_temp_c-065
winding_temp_c,69.57,C,2026-08-23T05:00:00Z,plc_export,MOTOR-01-winding_temp_c-066
winding_temp_c,73.22,C,2026-08-23T06:00:00Z,plc_export,MOTOR-01-winding_temp_c-067
winding_temp_c,69.58,C,2026-08-23T07:00:00Z,plc_export,MOTOR-01-winding_temp_c-068
winding_temp_c,70.14,C,2026-08-23T08:00:00Z,plc_export,MOTOR-01-winding_temp_c-069
winding_temp_c,69.67,C,2026-08-23T09:00:00Z,plc_export,MOTOR-01-winding_temp_c-070
winding_temp_c,70.39,C,2026-08-23T10:00:00Z,plc_export,MOTOR-01-winding_temp_c-071
winding_temp_c,72.99,C,2026-08-23T11:00:00Z,plc_export,MOTOR-01-winding_temp_c-072
winding_temp_c,71.18,C,2026-08-23T12:00:00Z,plc_export,MOTOR-01-winding_temp_c-073
winding_temp_c,70.02,C,2026-08-23T13:00:00Z,plc_export,MOTOR-01-winding_temp_c-074
winding_temp_c,70.69,C,2026-08-23T14:00:00Z,plc_export,MOTOR-01-winding_temp_c-075
winding_temp_c,70.39,C,2026-08-23T15:00:00Z,plc_export,MOTOR-01-winding_temp_c-076
winding_temp_c,73.52,C,2026-08-23T16:00:00Z,plc_export,MOTOR-01-winding_temp_c-077
winding_temp_c,73.19,C,2026-08-23T17:00:00Z,plc_export,MOTOR-01-winding_temp_c-078
winding_temp_c,69.15,C,2026-08-23T18:00:00Z,plc_export,MOTOR-01-winding_temp_c-079
winding_temp_c,72.64,C,2026-08-23T19:00:00Z,plc_export,MOTOR-01-winding_temp_c-080
winding_temp_c,71.25,C,2026-08-23T20:00:00Z,plc_export,MOTOR-01-winding_temp_c-081
winding_temp_c,70.17,C,2026-08-23T21:00:00Z,plc_export,MOTOR-01-winding_temp_c-082
winding_temp_c,72.85,C,2026-08-23T22:00:00Z,plc_export,MOTOR-01-winding_temp_c-083
winding_temp_c,69.11,C,2026-08-23T23:00:00Z,plc_export,MOTOR-01-winding_temp_c-084
winding_temp_c,69.67,C,2026-08-24T00:00:00Z,plc_export,MOTOR-01-winding_temp_c-085
winding_temp_c,68.63,C,2026-08-24T01:00:00Z,plc_export,MOTOR-01-winding_temp_c-086
winding_temp_c,70.48,C,2026-08-24T02:00:00Z,plc_export,MOTOR-01-winding_temp_c-087
winding_temp_c,70.51,C,2026-08-24T03:00:00Z,plc_export,MOTOR-01-winding_temp_c-088
winding_temp_c,71.48,C,2026-08-24T04:00:00Z,plc_export,MOTOR-01-winding_temp_c-089
winding_temp_c,72.45,C,2026-08-24T05:00:00Z,plc_export,MOTOR-01-winding_temp_c-090
winding_temp_c,70.74,C,2026-08-24T06:00:00Z,plc_export,MOTOR-01-winding_temp_c-091
winding_temp_c,69.6,C,2026-08-24T07:00:00Z,plc_export,MOTOR-01-winding_temp_c-092
winding_temp_c,69.42,C,2026-08-24T08:00:00Z,plc_export,MOTOR-01-winding_temp_c-093
winding_temp_c,70.91,C,2026-08-24T09:00:00Z,plc_export,MOTOR-01-winding_temp_c-094
winding_temp_c,72.76,C,2026-08-24T10:00:00Z,plc_export,MOTOR-01-winding_temp_c-095
winding_temp_c,72.4,C,2026-08-24T11:00:00Z,plc_export,MOTOR-01-winding_temp_c-096
winding_temp_c,69.51,C,2026-08-24T12:00:00Z,plc_export,MOTOR-01-winding_temp_c-097
winding_temp_c,69.03,C,2026-08-24T13:00:00Z,plc_export,MOTOR-01-winding_temp_c-098
winding_temp_c,71.81,C,2026-08-24T14:00:00Z,plc_export,MOTOR-01-winding_temp_c-099
winding_temp_c,70.74,C,2026-08-24T15:00:00Z,plc_export,MOTOR-01-winding_temp_c-100
winding_temp_c,68.34,C,2026-08-24T16:00:00Z,plc_export,MOTOR-01-winding_temp_c-101
winding_temp_c,72.97,C,2026-08-24T17:00:00Z,plc_export,MOTOR-01-winding_temp_c-102
winding_temp_c,69.3,C,2026-08-24T18:00:00Z,plc_export,MOTOR-01-winding_temp_c-103
winding_temp_c,72.45,C,2026-08-24T19:00:00Z,plc_export,MOTOR-01-winding_temp_c-104
